Age,Cabin
39,121
0,121
70,48
26,100
58,35
22,2
20,14
40,51
4,127
25,155
2,184
0,147
16,5
25,176
44,147
32,186
19,161
54,0
55,143
0,130
50,102
45,156
41,160
0,113
26,47
18,84
31,45
0,161
8,80
35,21
25,40
19,180
27,41
0,11
0,79
24,110
24,184
24,121
0,161
22,85
4,150
0,80
55,84
23,53
22,176
34,184
19,139
14,41
43,68
54,163
29,78
21,102
1,155
18,151
0,163
64,101
66,129
0,89
42,129
0,106
17,179
32,12
45,185
14,48
18,93
21,132
47,93
0,129
0,23
23,41
36,52
40,74
29,117
33,139
9,42
28,53
25,57
62,108
22,42
38,150
19,148
31,51
6,150
17,60
0,15
30,72
29,53
29,179
0,41
54,126
31,165
20,107
13,26
42,122
62,41
30,41
21,159
22,84
0,90
0,182
4,18
0,79
36,72
42,23
24,131
61,117
22,7
1,117
30,112
31,60
40,156
28,33
40,155
44,155
25,99
32,120
0,168
0,43
5,102
0,96
50,34
32,45
0,120
21,174
7,36
10,178
18,184
60,23
12,81
0,184
36,180
29,136
3,102
25,19
34,181
28,66
54,184
17,173
35,133
0,129
24,132
18,97
0,183
17,47
27,51
19,105
8,156
23,41
30,165
0,126
16,12
49,121
18,128
41,11
35,112
30,42
25,1
21,47
50,107
24,177
42,74
21,140
41,53
30,82
0,48
26,47
36,60
6,95
40,114
32,148
56,155
45,105
26,20
29,109
1,50
28,153
30,155
27,65
29,68
45,25
36,153
24,61
0,42
35,123
50,173
51,119
43,29
24,140
21,28
20,133
33,101
19,147
64,29
24,55
0,129
0,109
63,42
21,123
21,136
25,87
29,102
0,102
54,123
40,54
19,80
0,110
63,145
36,60
55,61
0,51
20,43
49,51
14,129
0,67
29,144
31,143
32,88
26,8
43,135
34,173
0,148
52,179
16,174
19,180
18,140
0,65
18,47
1,41
8,101
18,107
21,106
31,163
11,60
44,14
36,96
31,33
1,109
16,112
21,41
0,54
0,96
18,89
6,28
27,84
32,44
24,58
0,129
18,57
42,163
28,80
46,57
0,148
54,68
34,112
0,98
0,102
0,3
28,40
26,41
22,102
22,123
0,165
21,4
65,158
36,153
50,42
19,96
0,183
49,46
16,55
24,79
53,61
0,66
16,119
40,133
0,2
0,30
15,17
20,48
36,67
23,106
40,106
27,148
17,23
24,95
0,94
0,30
30,53
21,147
62,30
0,47
54,138
0,102
70,27
24,154
26,122
16,80
35,72
38,118
24,28
34,41
14,165
43,50
28,30
25,152
33,153
17,55
29,42
42,60
23,68
0,129
17,91
0,124
22,48
22,51
0,112
37,166
20,60
39,64
20,109
60,80
53,91
32,117
28,14
12,183
41,121
0,24
29,80
32,52
25,165
0,80
30,60
25,45
35,70
41,20
41,7
34,126
61,156
37,55
34,183
22,68
28,147
24,102
0,68
28,126
48,129
0,61
26,179
28,136
39,40
28,25
33,102
39,106
43,100
38,23
26,20
0,47
18,98
0,172
32,140
40,156
0,130
0,145
0,174
43,45
51,78
34,63
31,26
0,88
0,181
7,129
48,47
45,133
43,31
34,42
18,43
0,159
18,171
0,21
19,28
24,100
50,48
0,129
30,96
0,171
21,106
0,80
18,83
0,140
20,68
27,47
25,43
17,101
0,137
22,102
50,89
32,47
26,109
26,22
30,41
60,39
45,5
45,159
25,57
0,130
54,100
36,61
30,102
0,61
21,55
45,139
0,140
0,69
22,84
0,156
18,129
47,83
30,53
28,181
4,131
24,94
38,106
45,85
28,64
35,75
39,15
57,172
0,80
44,151
0,184
63,95
0,106
1,183
0,180
0,99
2,51
19,61
23,164
0,78
22,80
4,183
21,142
20,142
46,41
24,39
71,123
37,70
41,122
18,68
0,106
0,155
34,147
0,96
19,101
27,184
41,69
0,177
18,173
0,53
25,69
28,21
17,161
48,121
26,20
61,142
28,96
0,6
30,65
39,22
24,47
23,118
39,183
23,74
36,180
23,21
44,24
36,73
22,181
64,162
0,123
33,68
30,147
45,185
33,66
25,181
0,47
59,61
26,100
30,60
0,121
3,180
52,99
18,45
39,143
24,138
57,103
8,1
32,33
56,10
0,87
30,36
31,93
27,173
2,41
7,5
0,51
2,143
23,36
36,115
32,76
33,173
26,77
18,104
26,155
0,54
33,42
0,156
0,109
20,43
0,117
64,133
26,179
17,112
22,180
1,184
30,113
34,53
35,60
38,111
59,16
31,132
0,36
0,99
9,82
24,72
22,91
19,104
0,102
0,184
0,92
30,84
19,43
25,178
0,13
0,33
33,102
29,81
19,102
47,131
29,184
28,174
42,120
29,159
0,96
8,102
26,102
0,52
20,102
52,123
45,19
31,118
1,30
50,149
28,155
33,156
0,174
22,41
0,184
40,155
20,80
1,96
54,182
38,80
70,45
0,133
10,147
30,128
37,69
0,29
32,45
0,183
37,84
30,94
0,91
24,27
16,155
35,5
25,131
24,83
40,72
36,27
30,157
1,60
0,147
49,168
0,88
61,47
49,129
0,117
22,3
0,102
31,100
26,16
18,164
26,176
45,47
16,72
18,130
51,102
25,42
0,80
0,102
33,53
50,103
0,55
28,102
5,63
2,148
2,180
31,150
0,8
25,130
15,68
41,124
28,132
0,131
44,99
0,73
60,133
29,61
33,45
16,179
13,115
32,107
14,60
26,12
25,72
22,78
0,30
21,47
0,91
26,153
28,61
42,9
34,156
16,161
0,121
40,180
30,166
0,117
1,80
27,40
25,73
34,126
5,30
23,125
35,47
0,177
0,102
0,140
0,72
0,141
9,107
6,22
9,41
19,60
0,106
22,34
0,143
16,127
36,106
21,130
46,71
21,146
21,129
35,152
31,9
35,116
0,57
27,113
19,179
24,45
32,172
32,60
0,20
0,37
28,102
60,99
0,149
0,123
60,115
0,31
20,154
27,141
26,174
0,25
36,87
28,80
0,115
17,135
24,1
10,50
18,41
0,6
2,129
28,129
24,96
22,42
30,43
47,169
31,50
2,184
16,118
42,152
29,96
23,94
65,32
51,113
19,90
30,22
47,139
29,153
32,179
27,15
0,163
22,135
45,36
33,173
0,102
0,129
21,156
32,180
28,163
16,78
0,61
18,97
38,117
22,41
53,14
24,172
30,100
35,81
47,97
18,147
22,109
2,30
35,22
0,28
21,80
0,181
0,113
47,41
36,11
65,5
1,164
0,36
34,60
0,60
28,17
0,173
44,102
5,31
19,176
35,105
19,42
22,3
40,12
0,132
51,151
1,57
27,104
20,105
37,6
16,58
40,59
0,155
4,99
21,66
24,33
32,148
0,71
16,121
29,181
25,87
0,72
19,180
0,84
4,14
23,117
27,122
35,1
13,83
22,104
30,67
48,39
3,74
17,26
39,183
38,113
44,38
11,107
17,98
36,72
20,68
1,60
23,103
17,80
0,140
41,33
0,153
29,133
0,97
43,47
0,33
39,130
49,6
14,106
55,85
0,175
22,106
51,127
56,18
31,27
43,73
0,105
23,21
21,126
13,47
47,154
20,60
19,10
32,179
5,28
17,156
24,181
0,103
22,104
23,140
48,149
39,45
0,148
26,117
0,6
21,129
46,102
17,96
39,161
0,97
7,20
18,47
38,135
0,5
0,71
9,180
44,72
27,72
14,43
0,1
30,102
38,133
29,154
26,131
0,51
2,42
27,180
0,133
45,156
63,154
17,54
9,183
57,28
48,20
29,147
55,47
18,105
48,21
0,147
0,112
18,180
45,151
58,72
22,37
40,156
0,170
28,5
46,154
20,73
21,30
64,80
16,24
27,109
9,47
27,129
0,172
28,41
30,37
31,60
24,28
36,60
58,45
0,74
32,91
49,112
39,152
18,51
48,4
52,50
0,129
0,81
57,146
18,45
48,73
20,90
25,14
22,110
